code,ticker,reason
2472,2472.TW,download_failed
2474,2474.TW,download_failed
2476,2476.TW,download_failed
2477,2477.TW,download_failed
2478,2478.TW,download_failed
2480,2480.TW,download_failed
2481,2481.TW,download_failed
2482,2482.TW,download_failed
2483,2483.TW,download_failed
2484,2484.TW,download_failed
2485,2485.TW,download_failed
2486,2486.TW,download_failed
2488,2488.TW,download_failed
2489,2489.TW,download_failed
2491,2491.TW,download_failed
2492,2492.TW,download_failed
2493,2493.TW,download_failed
2495,2495.TW,download_failed
2496,2496.TW,download_failed
2497,2497.TW,download_failed
2498,2498.TW,download_failed
2501,2501.TW,download_failed
2504,2504.TW,download_failed
2505,2505.TW,download_failed
2506,2506.TW,download_failed
2509,2509.TW,download_failed
2511,2511.TW,download_failed
2514,2514.TW,download_failed
2515,2515.TW,download_failed
2516,2516.TW,download_failed
2520,2520.TW,download_failed
2524,2524.TW,download_failed
2527,2527.TW,download_failed
2528,2528.TW,download_failed
2530,2530.TW,download_failed
2534,2534.TW,download_failed
2535,2535.TW,download_failed
2536,2536.TW,download_failed
2537,2537.TW,download_failed
2538,2538.TW,download_failed
2539,2539.TW,download_failed
2540,2540.TW,download_failed
2542,2542.TW,download_failed
2543,2543.TW,download_failed
2545,2545.TW,download_failed
2546,2546.TW,download_failed
2547,2547.TW,download_failed
2548,2548.TW,download_failed
2597,2597.TW,download_failed
2601,2601.TW,download_failed
2603,2603.TW,download_failed
2605,2605.TW,download_failed
2606,2606.TW,download_failed
2607,2607.TW,download_failed
2608,2608.TW,download_failed
2609,2609.TW,download_failed
2610,2610.TW,download_failed
2611,2611.TW,download_failed
2612,2612.TW,download_failed
2613,2613.TW,download_failed
2614,2614.TW,download_failed
2615,2615.TW,download_failed
2616,2616.TW,download_failed
2617,2617.TW,download_failed
2618,2618.TW,download_failed
2630,2630.TW,download_failed
2633,2633.TW,download_failed
2634,2634.TW,download_failed
2636,2636.TW,download_failed
2637,2637.TW,download_failed
2642,2642.TW,download_failed
2645,2645.TW,download_failed
2646,2646.TW,download_failed
2701,2701.TW,download_failed
2702,2702.TW,download_failed
2704,2704.TW,download_failed
2705,2705.TW,download_failed
2706,2706.TW,download_failed
2707,2707.TW,download_failed
2712,2712.TW,download_failed
2722,2722.TW,download_failed
2723,2723.TW,download_failed
2727,2727.TW,download_failed
2731,2731.TW,download_failed
2739,2739.TW,download_failed
2748,2748.TW,download_failed
2753,2753.TW,download_failed
2762,2762.TW,download_failed
2801,2801.TW,download_failed
2812,2812.TW,download_failed
2816,2816.TW,download_failed
2820,2820.TW,download_failed
2832,2832.TW,download_failed
2834,2834.TW,download_failed
2836,2836.TW,download_failed
2838,2838.TW,download_failed
2845,2845.TW,download_failed
2849,2849.TW,download_failed
2850,2850.TW,download_failed
2851,2851.TW,download_failed
2852,2852.TW,download_failed
2855,2855.TW,download_failed
2867,2867.TW,download_failed
2880,2880.TW,download_failed
2881,2881.TW,download_failed
2882,2882.TW,download_failed
2883,2883.TW,download_failed
2884,2884.TW,download_failed
2885,2885.TW,download_failed
2886,2886.TW,download_failed
2887,2887.TW,download_failed
2889,2889.TW,download_failed
2890,2890.TW,download_failed
2891,2891.TW,download_failed
2892,2892.TW,download_failed
2897,2897.TW,download_failed
2901,2901.TW,download_failed
2903,2903.TW,download_failed
2904,2904.TW,download_failed
2905,2905.TW,download_failed
2906,2906.TW,download_failed
2908,2908.TW,download_failed
2910,2910.TW,download_failed
2911,2911.TW,download_failed
2912,2912.TW,download_failed
2913,2913.TW,download_failed
2915,2915.TW,download_failed
2923,2923.TW,download_failed
2929,2929.TW,download_failed
2939,2939.TW,download_failed
2945,2945.TW,download_failed
3002,3002.TW,download_failed
3003,3003.TW,download_failed
3004,3004.TW,download_failed
3005,3005.TW,download_failed
3006,3006.TW,download_failed
3008,3008.TW,download_failed
3010,3010.TW,download_failed
3011,3011.TW,download_failed
3013,3013.TW,download_failed
3014,3014.TW,download_failed
3015,3015.TW,download_failed
3016,3016.TW,download_failed
3017,3017.TW,download_failed
3018,3018.TW,download_failed
3019,3019.TW,download_failed
3021,3021.TW,download_failed
3022,3022.TW,download_failed
3023,3023.TW,download_failed
3024,3024.TW,download_failed
