code,name,market,industry,ticker
2014,中鴻,TWSE,Other,2014.TW
2015,豐興,TWSE,Other,2015.TW
2017,官田鋼,TWSE,Other,2017.TW
2020,美亞,TWSE,Other,2020.TW
2022,聚亨,TWSE,Other,2022.TW
2023,燁輝,TWSE,Other,2023.TW
2024,志聯,TWSE,Other,2024.TW
2025,千興,TWSE,Other,2025.TW
2027,大成鋼,TWSE,Other,2027.TW
2028,威致,TWSE,Other,2028.TW
2029,盛餘,TWSE,Other,2029.TW
2030,彰源,TWSE,Other,2030.TW
2031,新光鋼,TWSE,Other,2031.TW
2032,新鋼,TWSE,Other,2032.TW
2033,佳大,TWSE,Other,2033.TW
2034,允強,TWSE,Other,2034.TW
2038,海光,TWSE,Other,2038.TW
2049,上銀,TWSE,Other,2049.TW
2059,川湖,TWSE,Electronics,2059.TW
2062,橋椿,TWSE,Other,2062.TW
2069,運錩,TWSE,Other,2069.TW
2072,世紀風電,TWSE,Other,2072.TW
2101,南港,TWSE,橡膠工業,2101.TW
2102,泰豐,TWSE,橡膠工業,2102.TW
2103,台橡,TWSE,橡膠工業,2103.TW
2104,國際中橡,TWSE,橡膠工業,2104.TW
2105,正新,TWSE,橡膠工業,2105.TW
2106,建大,TWSE,橡膠工業,2106.TW
2107,厚生,TWSE,橡膠工業,2107.TW
2108,南帝,TWSE,橡膠工業,2108.TW
2109,華豐,TWSE,橡膠工業,2109.TW
2114,鑫永銓,TWSE,橡膠工業,2114.TW
2115,六暉-KY,TWSE,汽車工業,2115.TW
2201,裕隆,TWSE,汽車工業,2201.TW
2204,中華,TWSE,汽車工業,2204.TW
2206,三陽工業,TWSE,汽車工業,2206.TW
2207,和泰車,TWSE,汽車工業,2207.TW
2208,台船,TWSE,Other,2208.TW
2211,長榮鋼,TWSE,Other,2211.TW
2227,裕日車,TWSE,汽車工業,2227.TW
2228,劍麟,TWSE,汽車工業,2228.TW
2231,為升,TWSE,汽車工業,2231.TW
2233,宇隆,TWSE,汽車工業,2233.TW
2236,百達-KY,TWSE,汽車工業,2236.TW
2239,英利-KY,TWSE,汽車工業,2239.TW
2241,艾姆勒,TWSE,汽車工業,2241.TW
2243,宏旭-KY,TWSE,汽車工業,2243.TW
2247,汎德永業,TWSE,汽車工業,2247.TW
2248,華勝-KY,TWSE,汽車工業,2248.TW
2250,IKKA-KY,TWSE,汽車工業,2250.TW
2301,光寶科,TWSE,Computer,2301.TW
2302,麗正,TWSE,Semiconductor,2302.TW
2303,聯電,TWSE,Semiconductor,2303.TW
2305,全友,TWSE,Computer,2305.TW
2308,台達電,TWSE,Electronics,2308.TW
2312,金寶,TWSE,Electronics,2312.TW
2313,華通,TWSE,Electronics,2313.TW
2314,台揚,TWSE,Communication,2314.TW
2316,楠梓電,TWSE,Electronics,2316.TW
2317,鴻海,TWSE,Electronics,2317.TW
2321,東訊,TWSE,Communication,2321.TW
2323,中環,TWSE,Electronics,2323.TW
2324,仁寶,TWSE,Computer,2324.TW
2327,國巨*,TWSE,Electronics,2327.TW
2328,廣宇,TWSE,Electronics,2328.TW
2329,華泰,TWSE,Semiconductor,2329.TW
2330,台積電,TWSE,Semiconductor,2330.TW
2331,精英,TWSE,Computer,2331.TW
2332,友訊,TWSE,Communication,2332.TW
2337,旺宏,TWSE,Semiconductor,2337.TW
2338,光罩,TWSE,Semiconductor,2338.TW
2340,台亞,TWSE,Semiconductor,2340.TW
2342,茂矽,TWSE,Semiconductor,2342.TW
2344,華邦電,TWSE,Semiconductor,2344.TW
2345,智邦,TWSE,Communication,2345.TW
2347,聯強,TWSE,Electronics,2347.TW
2348,海悅,TWSE,其他業,2348.TW
2349,錸德,TWSE,Electronics,2349.TW
2351,順德,TWSE,Semiconductor,2351.TW
2352,佳世達,TWSE,Computer,2352.TW
2353,宏��,TWSE,Computer,2353.TW
2354,鴻準,TWSE,Electronics,2354.TW
2355,敬鵬,TWSE,Electronics,2355.TW
2356,英業達,TWSE,Computer,2356.TW
2357,華碩,TWSE,Computer,2357.TW
2359,所羅門,TWSE,Electronics,2359.TW
2360,致茂,TWSE,Electronics,2360.TW
2362,藍天,TWSE,Computer,2362.TW
2363,矽統,TWSE,Semiconductor,2363.TW
2364,倫飛,TWSE,Computer,2364.TW
2365,昆盈,TWSE,Computer,2365.TW
2367,燿華,TWSE,Electronics,2367.TW
2368,金像電,TWSE,Electronics,2368.TW
2369,菱生,TWSE,Semiconductor,2369.TW
2371,大同,TWSE,Other,2371.TW
2373,震旦行,TWSE,Electronics,2373.TW
2374,佳能,TWSE,Electronics,2374.TW
2375,凱美,TWSE,Electronics,2375.TW
2376,技嘉,TWSE,Computer,2376.TW
2377,微星,TWSE,Computer,2377.TW
2379,瑞昱,TWSE,Semiconductor,2379.TW
2380,虹光,TWSE,Computer,2380.TW
2382,廣達,TWSE,Computer,2382.TW
2383,台光電,TWSE,Electronics,2383.TW
2385,群光,TWSE,Electronics,2385.TW
2387,精元,TWSE,Computer,2387.TW
2388,威盛,TWSE,Semiconductor,2388.TW
2390,云辰,TWSE,Electronics,2390.TW
2392,正崴,TWSE,Electronics,2392.TW
2393,億光,TWSE,Electronics,2393.TW
2395,研華,TWSE,Computer,2395.TW
2397,友通,TWSE,Computer,2397.TW
2399,映泰,TWSE,Computer,2399.TW
2401,凌陽,TWSE,Semiconductor,2401.TW
2402,毅嘉,TWSE,Electronics,2402.TW
2404,漢唐,TWSE,Electronics,2404.TW
2405,輔信,TWSE,Computer,2405.TW
2406,國碩,TWSE,Electronics,2406.TW
2408,南亞科,TWSE,Semiconductor,2408.TW
2409,友達,TWSE,Electronics,2409.TW
2412,中華電,TWSE,Communication,2412.TW
2413,環科,TWSE,Electronics,2413.TW
2414,精技,TWSE,Electronics,2414.TW
2415,錩新,TWSE,Electronics,2415.TW
2417,圓剛,TWSE,Computer,2417.TW
2419,仲琦,TWSE,Communication,2419.TW
2420,新巨,TWSE,Electronics,2420.TW
2421,建準,TWSE,Electronics,2421.TW
2423,固緯,TWSE,Electronics,2423.TW
2424,隴華,TWSE,Communication,2424.TW
2425,承啟,TWSE,Computer,2425.TW
2426,鼎元,TWSE,Electronics,2426.TW
2427,三商電,TWSE,資訊服務業,2427.TW
2428,興勤,TWSE,Electronics,2428.TW
2429,銘旺科,TWSE,Electronics,2429.TW
2430,燦坤,TWSE,Electronics,2430.TW
2431,聯昌,TWSE,Electronics,2431.TW
2433,互盛電,TWSE,Electronics,2433.TW
2434,統懋,TWSE,Semiconductor,2434.TW
2436,偉詮電,TWSE,Semiconductor,2436.TW
2438,翔耀,TWSE,Electronics,2438.TW
2439,美律,TWSE,Communication,2439.TW
2440,太空梭,TWSE,Electronics,2440.TW
2441,超豐,TWSE,Semiconductor,2441.TW
2442,新美齊,TWSE,建材營造業,2442.TW
2444,兆勁,TWSE,Communication,2444.TW
2449,京元電子,TWSE,Semiconductor,2449.TW
2450,神腦,TWSE,Communication,2450.TW
2451,創見,TWSE,Semiconductor,2451.TW
2453,凌群,TWSE,資訊服務業,2453.TW
2454,聯發科,TWSE,Semiconductor,2454.TW
2455,全新,TWSE,Communication,2455.TW
2457,飛宏,TWSE,Electronics,2457.TW
2458,義隆,TWSE,Semiconductor,2458.TW
2459,敦吉,TWSE,Electronics,2459.TW
2460,建通,TWSE,Electronics,2460.TW
2461,光群雷,TWSE,Electronics,2461.TW
2462,良得電,TWSE,Electronics,2462.TW
2464,盟立,TWSE,Electronics,2464.TW
2465,麗臺,TWSE,Computer,2465.TW
2466,冠西電,TWSE,Electronics,2466.TW
2467,志聖,TWSE,Electronics,2467.TW
2468,華經,TWSE,資訊服務業,2468.TW
2471,資通,TWSE,資訊服務業,2471.TW
2472,立隆電,TWSE,Electronics,2472.TW
2474,可成,TWSE,Electronics,2474.TW
2476,鉅祥,TWSE,Electronics,2476.TW
2477,美隆電,TWSE,Electronics,2477.TW
2478,大毅,TWSE,Electronics,2478.TW
2480,敦陽科,TWSE,資訊服務業,2480.TW
2481,強茂,TWSE,Semiconductor,2481.TW
2482,連宇,TWSE,Electronics,2482.TW
2483,百容,TWSE,Electronics,2483.TW
2484,希華,TWSE,Electronics,2484.TW
2485,兆赫,TWSE,Communication,2485.TW
2486,一詮,TWSE,Electronics,2486.TW
2488,漢平,TWSE,Electronics,2488.TW
2489,瑞軒,TWSE,Electronics,2489.TW
2491,吉祥全,TWSE,Electronics,2491.TW
2492,華新科,TWSE,Electronics,2492.TW
2493,揚博,TWSE,Electronics,2493.TW
2495,普安,TWSE,Computer,2495.TW
2496,卓越,TWSE,其他業,2496.TW
2497,怡利電,TWSE,汽車工業,2497.TW
2498,宏達電,TWSE,Communication,2498.TW
2501,國建,TWSE,建材營造業,2501.TW
2504,國產,TWSE,建材營造業,2504.TW
2505,國揚,TWSE,建材營造業,2505.TW
2506,太設,TWSE,建材營造業,2506.TW
2509,全坤建,TWSE,建材營造業,2509.TW
2511,太子,TWSE,建材營造業,2511.TW
2514,龍邦,TWSE,其他業,2514.TW
2515,中工,TWSE,建材營造業,2515.TW
2516,新建,TWSE,建材營造業,2516.TW
2520,冠德,TWSE,建材營造業,2520.TW
2524,京城,TWSE,建材營造業,2524.TW
2527,宏璟,TWSE,建材營造業,2527.TW
2528,皇普,TWSE,建材營造業,2528.TW
2530,華建,TWSE,建材營造業,2530.TW
2534,宏盛,TWSE,建材營造業,2534.TW
2535,達欣工,TWSE,建材營造業,2535.TW
2536,宏普,TWSE,建材營造業,2536.TW
2537,聯上發,TWSE,建材營造業,2537.TW
2538,基泰,TWSE,建材營造業,2538.TW
2539,櫻花建,TWSE,建材營造業,2539.TW
2540,愛山林,TWSE,建材營造業,2540.TW
2542,興富發,TWSE,建材營造業,2542.TW
2543,皇昌,TWSE,建材營造業,2543.TW
2545,皇翔,TWSE,建材營造業,2545.TW
2546,根基,TWSE,建材營造業,2546.TW
2547,日勝生,TWSE,建材營造業,2547.TW
2548,華固,TWSE,建材營造業,2548.TW
2597,潤弘,TWSE,建材營造業,2597.TW
2601,益航,TWSE,貿易百貨業,2601.TW
2603,長榮,TWSE,Other,2603.TW
2605,新興,TWSE,Other,2605.TW
2606,裕民,TWSE,Other,2606.TW
2607,榮運,TWSE,Other,2607.TW
2608,嘉里大榮,TWSE,Other,2608.TW
2609,陽明,TWSE,Other,2609.TW
2610,華航,TWSE,Other,2610.TW
2611,志信,TWSE,Other,2611.TW
2612,中航,TWSE,Other,2612.TW
2613,中櫃,TWSE,Other,2613.TW
2614,東森,TWSE,其他業,2614.TW
2615,萬海,TWSE,Other,2615.TW
2616,山隆,TWSE,Other,2616.TW
2617,台航,TWSE,Other,2617.TW
2618,長榮航,TWSE,Other,2618.TW
2630,亞航,TWSE,Other,2630.TW
2633,台灣高鐵,TWSE,Other,2633.TW
2634,漢翔,TWSE,Other,2634.TW
2636,台驊控股,TWSE,Other,2636.TW
2637,慧洋-KY,TWSE,Other,2637.TW
2642,宅配通,TWSE,Other,2642.TW
2645,長榮航太,TWSE,Other,2645.TW
2646,星宇航空,TWSE,Other,2646.TW
2701,萬企,TWSE,觀光餐旅,2701.TW
2702,華園,TWSE,觀光餐旅,2702.TW
2704,國賓,TWSE,觀光餐旅,2704.TW
2705,六福,TWSE,觀光餐旅,2705.TW
2706,第一店,TWSE,觀光餐旅,2706.TW
2707,晶華,TWSE,觀光餐旅,2707.TW
2712,遠雄來,TWSE,觀光餐旅,2712.TW
2722,夏都,TWSE,觀光餐旅,2722.TW
2723,美食-KY,TWSE,觀光餐旅,2723.TW
2727,王品,TWSE,觀光餐旅,2727.TW
2731,雄獅,TWSE,觀光餐旅,2731.TW
2739,寒舍,TWSE,觀光餐旅,2739.TW
2748,雲品,TWSE,觀光餐旅,2748.TW
2753,八方雲集,TWSE,觀光餐旅,2753.TW
2762,世界健身-KY,TWSE,Other,2762.TW
2801,彰銀,TWSE,Other,2801.TW
2812,台中銀,TWSE,Other,2812.TW
2816,旺旺保,TWSE,Other,2816.TW
2820,華票,TWSE,Other,2820.TW
2832,台產,TWSE,Other,2832.TW
2834,臺企銀,TWSE,Other,2834.TW
2836,高雄銀,TWSE,Other,2836.TW
2838,聯邦銀,TWSE,Other,2838.TW
2845,遠東銀,TWSE,Other,2845.TW
2849,安泰銀,TWSE,Other,2849.TW
2850,新產,TWSE,Other,2850.TW
2851,中再保,TWSE,Other,2851.TW
2852,第一保,TWSE,Other,2852.TW
2855,統一證,TWSE,Other,2855.TW
2867,三商壽,TWSE,Other,2867.TW
2880,華南金,TWSE,Other,2880.TW
2881,富邦金,TWSE,Other,2881.TW
2882,國泰金,TWSE,Other,2882.TW
2883,凱基金,TWSE,Other,2883.TW
2884,玉山金,TWSE,Other,2884.TW
2885,元大金,TWSE,Other,2885.TW
2886,兆豐金,TWSE,Other,2886.TW
2887,台新新光金,TWSE,Other,2887.TW
2889,國票金,TWSE,Other,2889.TW
2890,永豐金,TWSE,Other,2890.TW
2891,中信金,TWSE,Other,2891.TW
2892,第一金,TWSE,Other,2892.TW
2897,王道銀行,TWSE,Other,2897.TW
2901,欣欣,TWSE,貿易百貨業,2901.TW
2903,遠百,TWSE,貿易百貨業,2903.TW
2904,匯僑,TWSE,其他業,2904.TW
2905,三商,TWSE,貿易百貨業,2905.TW
2906,高林,TWSE,貿易百貨業,2906.TW
2908,特力,TWSE,貿易百貨業,2908.TW
